Container,Status
ansible,ENABLED
aqe_editor,ENABLED
atr_mongo,ENABLED
atr_postgress,ENABLED
automation_queue,ENABLED
automation_worker,ENABLED
bot,ENABLED
bot_hazelcast,ENABLED
chatbot_client,ENABLED
client,ENABLED
consul,ENABLED
elasticsearch,ENABLED
gamification,ENABLED
gateway,ENABLED
identity_management,ENABLED
identity_management-client,ENABLED
kb_hub,ENABLED
knowledgebase,ENABLED
knowledgebase_client,ENABLED
mlcore_frontend,ENABLED
mlcore_master,ENABLED
mlcore_mongo,ENABLED
mlcore_predict-worker,ENABLED
mlcore_redis,ENABLED
mlcore_train_worker,ENABLED
mongo_provision,ENABLED
monitoring,ENABLED
monitoring_client,ENABLED
nginx,ENABLED
notification,ENABLED
plugin_automation_camel,ENABLED
plugin_automation_chatbot,ENABLED
plugin_automation_rundeck,ENABLED
plugin_standalone,ENABLED
rabbitmq,ENABLED
rabbitmq_plgins,ENABLED
rundeck,ENABLED
rundeck_provision,ENABLED
splunk,ENABLED
ticket_management,ENABLED
